t [s],a [m/s^2]
2.065,0.06581315
2.07,0.05082189
2.075,0.02745662
2.08,-0.001595952
2.085,-0.03056392
2.09,-0.05448219
2.095,-0.06944045
2.1,-0.07266073
2.105,-0.06569
2.11,-0.05320026
2.115,-0.03635153
2.12,-0.0154908
2.125,0.007834433
2.13,0.02756266
2.135,0.03577039
2.14,0.03286113
2.145,0.02745886
2.15,0.02142659
2.155,0.009082622
2.16,-0.01238295
2.165,-0.03966422
2.17,-0.06364048
2.175,-0.07944675
2.18,-0.08814102
2.185,-0.08787529
2.19,-0.07861156
2.195,-0.06920283
2.2,-0.06940209
2.205,-0.07778736
2.21,-0.08448963
2.215,-0.0820519
2.22,-0.07030417
2.225,-0.05386243
2.23,-0.0312347
2.235,0.003912128
2.24,0.05134276
2.245,0.09833749
2.25,0.1337492
2.255,0.1614989
2.26,0.1905787
2.265,0.2209984
2.27,0.2367782
2.275,0.2208879
2.28,0.1799976
2.285,0.1389873
2.29,0.1182871
2.295,0.1180568
2.3,0.1281965
2.305,0.1435063
2.31,0.160356
2.315,0.1729657
2.32,0.1755855
2.325,0.1615252
2.33,0.1332549
2.335,0.1044547
2.34,0.08447139
2.345,0.07037313
2.35,0.05193086
2.355,0.01682059
2.36,-0.04046168
2.365,-0.106827
2.37,-0.1607572
2.375,-0.1933375
2.38,-0.2103678
2.385,-0.216168
2.39,-0.2052383
2.395,-0.1740686
2.4,-0.1263888
2.405,-0.0749111
2.41,-0.03057537
2.415,0.009198066
2.42,0.0453221
2.425,0.06580183
2.43,0.06080356
2.435,0.03210229
2.44,-0.01149398
2.445,-0.05909324
2.45,-0.09871651
2.455,-0.1165618
2.46,-0.102682
2.465,-0.06400332
2.47,-0.02236559
2.475,0.005131845
2.48,0.01592688
2.485,0.01711961
2.49,0.02481834
2.495,0.04382207
2.5,0.0571228
2.505,0.05128453
2.51,0.02618327
2.515,-0.005753702
2.52,-0.02531027
2.525,-0.02252254
2.53,0.004391393
2.535,0.05576193
2.54,0.1227137
2.545,0.1914034
2.55,0.2525831
