t [s],a [m/s^2]
3.035,0.2568139
3.04,0.1748938
3.045,0.06061765
3.05,-0.05584549
3.055,-0.1617866
3.06,-0.2331668
3.065,-0.2282769
3.07,-0.1473471
3.075,-0.0366152
3.08,0.07503566
3.085,0.1841125
3.09,0.2817724
3.095,0.3528622
3.1,0.3728521
3.105,0.328712
3.11,0.2428718
3.115,0.1611217
3.12,0.09842253
3.125,0.03004438
3.13,-0.04019076
3.135,-0.0654529
3.14,-0.03165404
3.145,0.03122782
3.15,0.09303767
3.155,0.1516805
3.16,0.2233804
3.165,0.3003002
3.17,0.3528301
3.175,0.36879
3.18,0.3564098
3.185,0.3357497
3.19,0.3329895
3.195,0.3389794
3.2,0.3391792
3.205,0.3288191
3.21,0.300909
3.215,0.2607188
3.22,0.2346287
3.225,0.2414985
3.23,0.2572584
3.235,0.2667083
3.24,0.2721181
3.245,0.251268
3.25,0.1804278
3.255,0.0796337
3.26,-0.03202444
3.265,-0.1664026
3.27,-0.3192427
3.275,-0.4699629
3.28,-0.612153
3.285,-0.7490932
3.29,-0.8767633
3.295,-0.9601535
3.3,-0.9634136
3.305,-0.8832637
3.31,-0.7520539
3.315,-0.604204
3.32,-0.4546241
3.325,-0.2999943
3.33,-0.1620444
3.335,-0.08921057
3.34,-0.07972872
3.345,-0.07414786
3.35,-0.032307
3.355,0.02688986
3.36,0.06404972
3.365,0.05987558
3.37,0.03663744
3.375,0.02020429
3.38,0.01726815
3.385,0.03601701
3.39,0.05921873
3.395,0.05996234
3.4,0.04609795
3.405,0.03024255
3.41,0.01193116
3.415,0.01188076
3.42,0.05041737
3.425,0.107711
3.43,0.1462006
3.435,0.1613402
3.44,0.1697498
3.445,0.1579894
3.45,0.071327
3.455,-0.1066814
3.46,-0.2857118
3.465,-0.4035822
3.47,-0.4632326
3.475,-0.458703
3.48,-0.4225734
3.485,-0.4104238
3.49,-0.4253142
3.495,-0.4557846
3.5,-0.4782749
3.505,-0.4298053
3.51,-0.2919557
3.515,-0.1275761
3.52,0.007273484
3.525,0.1117431
3.53,0.2249727
3.535,0.3665023
3.54,0.4886119
3.545,0.5447015
3.55,0.5421111
3.555,0.5108507
3.56,0.4458603
3.565,0.3184699
3.57,0.1224095
3.575,-0.08327986
3.58,-0.2396013
3.585,-0.3431216
3.59,-0.397852
3.595,-0.4006024
3.6,-0.3596628
3.605,-0.3093532
3.61,-0.2867436
3.615,-0.311184
3.62,-0.3431544
3.625,-0.3193648
3.63,-0.2545152
3.635,-0.1892456
3.64,-0.103346
3.645,0.002068126
3.65,0.06339023
3.655,0.05225284
3.66,0.004822043
3.665,-0.03950895
3.67,-0.06093534
3.675,-0.09432874
3.68,-0.1759291
3.685,-0.2806595
3.69,-0.3691099
3.695,-0.4298803
3.7,-0.4601007
3.705,-0.4679311
3.71,-0.4802715
3.715,-0.5156019
3.72,-0.5517723
3.725,-0.5555727
3.73,-0.4922331
3.735,-0.3642635
3.74,-0.2282539
3.745,-0.1323543
3.75,-0.09448866
3.755,-0.09408405
3.76,-0.07421345
3.765,-0.003080937
3.77,0.09322277
3.775,0.1853734
3.78,0.266423
3.785,0.3243826
3.79,0.3391122
3.795,0.2951318
3.8,0.2040314
3.805,0.118101
3.81,0.07885762
3.815,0.06914122
3.82,0.05086583
3.825,0.01086843
3.83,-0.02614896
3.835,-0.007516158
3.84,0.08857225
3.845,0.2376779
3.85,0.4063175
3.855,0.5699171
3.86,0.7083667
3.865,0.8210163
3.87,0.9246059
3.875,1.026765
3.88,1.133165
3.885,1.213965
3.89,1.207964
3.895,1.120064
3.9,1.006464
3.905,0.8676731
3.91,0.6904227
3.915,0.5019723
3.92,0.3390119
3.925,0.2190715
3.93,0.1306112
3.935,0.07550876
3.94,0.08840736
3.945,0.17001
3.95,0.2912196
3.955,0.4298992
3.96,0.5651688
3.965,0.6846384
3.97,0.796158
3.975,0.9110076
3.98,0.9985372
3.985,0.9867068
3.99,0.8401564
3.995,0.612646
4,0.3774056
4.005,0.1796252
4.01,0.04150884
4.015,-0.04213555
4.02,-0.09373995
4.025,-0.1131263
4.03,-0.09894174
4.035,-0.07506913
4.04,-0.06033152
4.045,-0.04584792
4.05,-0.01736431
4.055,0.02157529
4.06,0.0501009
4.065,0.04050151
4.07,-0.01703689
4.075,-0.1038403
4.08,-0.1899707
4.085,-0.2577711
4.09,-0.3104615
4.095,-0.3582019
4.1,-0.4165322
4.105,-0.5024226
4.11,-0.6136131
4.115,-0.7238835
4.12,-0.8003938
4.125,-0.8440942
4.13,-0.8930447
4.135,-0.953425
4.14,-0.9846254
4.145,-0.9630858
4.15,-0.9074262
4.155,-0.8631966
4.16,-0.843927
4.165,-0.8293174
4.17,-0.8112678
4.175,-0.7903882
4.18,-0.7625186
4.185,-0.738629
4.19,-0.7191094
4.195,-0.6702797
4.2,-0.5710002
4.205,-0.4346806
4.21,-0.2772609
4.215,-0.1131313
4.22,0.04546828
4.225,0.1799879
4.23,0.2665975
4.235,0.3001671
4.24,0.3008667
4.245,0.2899163
4.25,0.2769559
4.255,0.2710855
4.26,0.2712951
4.265,0.2720347
4.27,0.2566643
4.275,0.1988639
4.28,0.1088535
4.285,0.02525215
4.29,-0.03098624
4.295,-0.05591564
4.3,-0.06510203
4.305,-0.07974742
4.31,-0.1039588
4.315,-0.1174092
4.32,-0.1000416
4.325,-0.0542
4.33,-0.004029895
4.335,0.007648311
4.34,-0.03647519
4.345,-0.1283316
4.35,-0.242282
4.355,-0.3539424
4.36,-0.4698728
4.365,-0.5833532
4.37,-0.6619735
4.375,-0.695344
4.38,-0.6845143
4.385,-0.6429948
4.39,-0.6034951
4.395,-0.5746455
4.4,-0.5462259
4.405,-0.5171763
4.41,-0.4926767
4.415,-0.4797771
4.42,-0.4728175
4.425,-0.4597079
4.43,-0.4647783
4.435,-0.5073487
4.44,-0.555259
4.445,-0.5705095
4.45,-0.5458699
4.455,-0.4881903
4.46,-0.4115607
4.465,-0.329951
4.47,-0.2424514
4.475,-0.1522018
4.48,-0.08016723
4.485,-0.02553962
4.49,0.02963999
4.495,0.09400959
4.5,0.1854862
4.505,0.2989658
4.51,0.4120354
4.515,0.525985
4.52,0.6367746
4.525,0.7384142
4.53,0.8339138
4.535,0.9210134
4.54,0.997323
4.545,1.065713
4.55,1.122212
4.555,1.147112
4.56,1.132211
4.565,1.089311
4.57,1.036511
4.575,0.9826303
4.58,0.9360099
4.585,0.9107095
4.59,0.9062991
4.595,0.9209987
4.6,0.9497983
4.605,0.9682679
