t [s],a [m/s^2]
4.815,-0.5895277
4.82,-0.6277472
4.825,-0.6761468
4.83,-0.7423764
4.835,-0.8287359
4.84,-0.9355155
4.845,-1.052385
4.85,-1.160785
4.855,-1.253784
4.86,-1.333284
4.865,-1.402183
4.87,-1.457283
4.875,-1.493883
4.88,-1.505182
4.885,-1.483282
4.89,-1.429381
4.895,-1.354181
4.9,-1.26518
4.905,-1.17388
4.91,-1.09208
4.915,-1.025279
4.92,-0.9773186
4.925,-0.9491782
4.93,-0.9335678
4.935,-0.9202074
4.94,-0.905937
4.945,-0.8858297
4.95,-0.8485733
4.955,-0.7856968
4.96,-0.6945904
4.965,-0.5804839
4.97,-0.4506575
4.975,-0.306421
4.98,-0.1542645
4.985,-0.01048809
4.99,0.1150484
4.995,0.2195548
5,0.2958113
5.005,0.3404477
5.01,0.3580042
5.015,0.3539506
5.02,0.3398271
5.025,0.3295236
5.03,0.3304
5.035,0.3438265
5.04,0.3681929
5.045,0.4025994
5.05,0.4389958
5.055,0.4646623
5.06,0.4781688
5.065,0.4837552
5.07,0.4820217
5.075,0.4749881
5.08,0.4678846
5.085,0.459501
5.09,0.4500175
5.095,0.4437639
5.1,0.4464004
5.105,0.4583769
5.11,0.4681933
5.115,0.4748598
5.12,0.4873062
5.125,0.5020927
5.13,0.5124391
5.135,0.5164556
5.14,0.511602
5.145,0.4981585
5.15,0.4779249
5.155,0.4495314
5.16,0.4165079
5.165,0.3866543
5.17,0.3643708
5.175,0.3478072
5.18,0.3307737
5.185,0.3102601
5.19,0.2819566
5.195,0.2433031
5.2,0.1964195
5.205,0.137376
5.21,0.05292143
5.215,-0.06458612
5.22,-0.2048247
5.225,-0.3464082
5.23,-0.4797517
5.235,-0.5987753
5.24,-0.6950889
5.245,-0.7673924
5.25,-0.8143159
5.255,-0.8291194
5.26,-0.810583
5.265,-0.7656066
5.27,-0.7062701
5.275,-0.6415237
5.28,-0.5654372
5.285,-0.4756907
5.29,-0.3788243
5.295,-0.2774878
5.3,-0.1796714
5.305,-0.09518491
5.31,-0.02048146
5.315,0.047158
5.32,0.1046645
5.325,0.1476309
5.33,0.1716774
5.335,0.1763238
5.34,0.1669603
5.345,0.1523467
5.35,0.1382532
5.355,0.1238596
5.36,0.1037161
5.365,0.07708156
5.37,0.04628601
5.375,0.00829247
5.38,-0.03274807
5.385,-0.06963362
5.39,-0.1004152
5.395,-0.1158287
5.4,-0.1110722
5.405,-0.09193379
5.41,-0.06307934
5.415,-0.02429688
5.42,0.02218757
5.425,0.07194203
5.43,0.1230065
5.435,0.1719929
5.44,0.2188694
5.445,0.2685159
5.45,0.3235623
5.455,0.3830588
5.46,0.4499052
5.465,0.5200117
5.47,0.5846182
5.475,0.6412046
5.48,0.682561
5.485,0.7056875
5.49,0.715794
5.495,0.7134904
5.5,0.7086769
5.505,0.7119233
5.51,0.7233598
5.515,0.7409663
5.52,0.7610527
5.525,0.7800692
5.53,0.7894756
5.535,0.7749221
5.54,0.7276185
5.545,0.650035
5.55,0.5506114
5.555,0.4349579
5.56,0.3000643
5.565,0.1484408
5.57,-0.006052151
5.575,-0.1543163
5.58,-0.2927098
5.585,-0.4178634
5.59,-0.5273669
5.595,-0.6188105
5.6,-0.690734
5.605,-0.7423075
5.61,-0.7777511
5.615,-0.8048447
5.62,-0.8240982
5.625,-0.8356417
5.63,-0.8370453
5.635,-0.8213288
5.64,-0.7903123
5.645,-0.7478659
5.65,-0.7008194
5.655,-0.656103
5.66,-0.6145065
5.665,-0.5757701
5.67,-0.5361837
5.675,-0.4957472
5.68,-0.4596007
5.685,-0.4273343
5.69,-0.4037578
5.695,-0.3977014
5.7,-0.4133949
5.705,-0.4510984
5.71,-0.503262
5.715,-0.5618156
5.72,-0.6233791
5.725,-0.6807426
5.73,-0.7243962
5.735,-0.7479297
5.74,-0.7476032
5.745,-0.7248268
5.75,-0.6806504
5.755,-0.6088639
5.76,-0.5091674
5.765,-0.393201
5.77,-0.2741745
5.775,-0.1598581
5.78,-0.0471826
5.785,0.06430185
5.79,0.1624713
5.795,0.2433778
5.8,0.3098542
5.805,0.3633107
5.81,0.4061771
5.815,0.4390936
5.82,0.46434
5.825,0.4867365
5.83,0.5075629
5.835,0.5249794
5.84,0.5359659
5.845,0.5403023
5.85,0.5349788
5.855,0.5164652
5.86,0.4879717
5.865,0.4530382
5.87,0.4163346
5.875,0.3871011
5.88,0.3669075
5.885,0.353944
5.89,0.3534504
5.895,0.3671869
5.9,0.3923833
5.905,0.4290698
5.91,0.4788162
5.915,0.5400727
5.92,0.6014692
5.925,0.6563856
5.93,0.7072621
5.935,0.7462685
5.94,0.760585
5.945,0.7457715
5.95,0.7087179
5.955,0.6586844
5.96,0.5991208
5.965,0.5291573
5.97,0.4453137
5.975,0.3527902
5.98,0.2624666
5.985,0.1855731
5.99,0.1285295
